Year,Status,Adult Mortality,Infant Deaths,Alcohol,Percentage Expenditure,Hepatitis B,Measles,BMI,Under-five Deaths,Polio,Total Expenditure,Diphtheria,HIV/AIDS,GDP,Population,Thinness 1-19 Years,Thinness 5-9 Years,Income Composition of Resources,Schooling
2011,0.0,0.3795013850415513,0.03944444444444444,0.0,0.0003643296153026025,0.6836734693877551,0.014200006598078074,0.18771726535341832,0.0388,0.6770833333333333,0.4352872896111434,0.6804123711340205,0.0,0.0005190511921806096,0.002302078048272422,0.6557971014492754,0.6350877192982456,0.47890295358649787,0.45893719806763283
2010,0.0,0.3850415512465374,0.04111111111111111,0.0,0.00409033515938012,0.6632653061224489,0.009373983778153764,0.18192352259559674,0.0408,0.65625,0.5124782356355193,0.6597938144329897,0.0,0.0046290398685463734,0.0022283204125308036,0.6630434782608695,0.6421052631578946,0.4725738396624472,0.4444444444444444
2009,0.0,0.3878116343490305,0.042777777777777776,0.0,0.002913884721677133,0.6326530612244897,0.01348364383574556,0.17612977983777522,0.0424,0.625,0.5252466627974463,0.6288659793814433,0.0,0.0037275152727735917,0.0002197279169296976,0.6702898550724639,0.6526315789473683,0.4578059071729958,0.42995169082125606
2008,0.0,0.3961218836565097,0.044444444444444446,0.0011198208286674134,0.001328236281458158,0.6428571428571428,0.007535947743221654,0.17033603707995365,0.044000000000000004,0.6354166666666666,0.4619849100406268,0.6391752577319587,0.0,0.0031188760500788174,0.0021095006886606817,0.677536231884058,0.6596491228070175,0.45675105485232065,0.42028985507246375
2007,0.0,0.407202216066482,0.04555555555555556,0.0005599104143337066,0.0005600721501425746,0.6326530612244897,0.005377433630403944,0.16454229432213208,0.045200000000000004,0.625,0.3691236215902496,0.6288659793814433,0.0,0.0030892940333820786,0.020571602200381515,0.6847826086956522,0.6666666666666666,0.43776371308016876,0.4057971014492754
2006,0.0,0.407202216066482,0.04666666666666667,0.0011198208286674134,0.0008814987384842657,0.6428571428571428,0.009378696691063846,0.15874855156431056,0.046400000000000004,0.5729166666666666,0.4097504352872896,0.5773195876288659,0.0,0.0022730553791929444,0.0020012307984718525,0.6920289855072463,0.6736842105263158,0.4272151898734177,0.3913043478260869
2005,0.0,0.40166204986149584,0.04722222222222222,0.0005599104143337066,7.128614132351292e-05,0.6632653061224489,0.006107935131466706,0.15295480880648898,0.0472,0.5729166666666666,0.4834590829947765,0.5773195876288659,0.0,0.00019814189628619688,0.00019922104974539503,0.6956521739130435,0.6807017543859648,0.4177215189873418,0.3816425120772947
2004,0.0,0.40443213296398894,0.04833333333333333,0.0005599104143337066,0.0007852225788410546,0.673469387755102,0.002196217416098368,0.14831981460023175,0.048,0.02083333333333333,0.4886825304701102,0.03092783505154639,0.0,0.0018247719033367047,0.01864108852148262,0.7028985507246377,0.687719298245614,0.40189873417721517,0.32850241545893716
2003,0.0,0.407202216066482,0.04833333333333333,0.0,0.0005692558032094685,0.6530612244897959,0.003760904502245703,0.1436848203939745,0.0488,0.3958333333333333,0.4904236796285549,0.4020618556701031,0.0,0.001653481917975162,0.0018277235191716294,0.7101449275362318,0.6947368421052631,0.39345991561181437,0.3140096618357488
2002,0.0,0.0027700831024930752,0.04888888888888889,0.0,0.0008669110644901945,0.6428571428571428,0.011716301494464685,0.13904982618771727,0.0488,0.34375,0.4289030760301799,0.3505154639175258,0.0,0.001562162821217053,0.016987851522583686,0.717391304347826,0.0736842105263158,0.359704641350211,0.2995169082125604
